!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
que voulez-vous que je fasse d'un marque-page!	®ÑÅÒ­n§Ú®³¨Ó·F¹À¡I
quel entˆtement! Bon vous pouvez entrer!	¯u¬O¦ºÄñÄê¥´¡I¦n§a¡A¶i¨Ó§a¡C
quelle chance vous avez mon ami! un emploi stable et de tout repos...	¹B®ğ¯u¦n°Ú¡AªB¤Í¡IÃ­©w¤u§@¨S·Ğ´o¡K¡K
questa ferraglia non serve a niente senza l'impronta della chiave...	¨S¦³Æ_°Í©İ¦L¡A³o°ï¼oÅK¨S¥Î¡I
questo fanciullo Š invasato! lo porto nel mio laboratorio. bisogna fargli bere l'acqua della mia fontana. Prendetene e raggiungetemi !	³o«Ä¤l¤¤¨¸¤F¡I§Ú±a¥L¦^¹êÅç«Ç¡C±oÅı¥L³Ü¼Q¬u¤ô¡A§Ö¥h¨ú¤ô¦^¨Ó¨£§Ú¡I
questo pagliaccio Š ancora troppo all'erta! bisognerebbe distrarlo ...	³o³Ã¥ë¤ÓÄµÄ±¤F¡A±o¤Ş¶}¥L¡K¡K
quittez ce village pour le chƒteau! gare! un g‚ant affam‚ barre la sortie!	Â÷¶}§ø¤l©¹«°³ù¡I¤p¤ß°§¾j¥¨¤H¾×¸ô¡I
reden wir nicht davon! aber ihr k™nnt doch die zauberkarte dafr verwenden!	§O´£¤F¡I¤£¹L§A­Ì¥i¥H¥ÎÅ]ªk¥d¡I
riconoscenza a parte,lei non Š proprio il mio tipo!	®¤§Úª½¨¥¡A§A¯uªº¤£¬O§Úªºµæ¡I
riecht lecker nach honig! ob das auch so gut schmeckt?	»D°_¨Ó¹³¸Á»e¡A¯à¦Y¶Ü¡H
sache manant que je suis un grand roi! c'est le d‚mon qui me tient enferm‚ ici	¯ä¤p¤l¡A§Ú¥i¬O°¶¤j°ê¤ı¡I´cÅ]§â§ÚÃö³o¡I
sali un po' qui se hai il coraggio ... il tappeto serve a questo!	¦³ºØ´N¤W¨Ó°Ú¡A¦a´à´N¬O·F³o­Ó¥Îªº¡I
salut ami sportif! beau temps pour une partie n'est-ce-pas?	¶Ù¡A¹B°Ê©@¡A¤µ¤Ñ¯u¾A¦X¨Ó¤@³õ¡I
salut, sportsfreund! prima wetter fr ein spielchen, findest du nicht auch?	¶Ù¡A¹B°Ê©@¡A¤µ¤Ñ¯u¾A¦X¨Ó¤@³õ¡I
salve amico sportivo! bel tempo per fare una partita, non trovi?	¶Ù¡A¹B°Ê©@¡A¤µ¤Ñ¯u¾A¦X¨Ó¤@³õ¡I
salve collega! ce l'abbiamo fatta!	¼K¡A§A¦n°Ú¡I¦³¶i®i¶Ü¡H
salvemastroartigiano, non abbiamo ancora trovato tutto, ma ce la faremo!	ÅK¦K§A¦n¡AÁÙ¨S§ä»ô¡A¦ı§Ö¤F¡K¡K
sappi zoticone che io sono un grande re e che Š il demone a tenermi quass—.	¯ä¤p¤l¡A§Ú¥i¬O°¶¤j°ê¤ı¡I´cÅ]§â§ÚÃö³o¡I
sauf la reconnaissance que je vous dois vous n'ˆtes vraiment pas mon genre!	®¤§Úª½¨¥¡A§A¯uªº¤£¬O§Úªºµæ¡I
sch™nen guten tag gn„' frau! wie ist denn das wetter da unten?	¤Ó¤Ó¦­¦w¡A¤U­±¤Ñ®ğÁÙ¦n¶Ü¡H
scusami amico,il demone mi ha stordito. ho bisogno di riprendermi un po'...	©êºpªB¤Í¡A§Ú³Q´cÅ]¥´·w¤F¡A±o½w½w¡K¡K
se posso permettermi signore... avete cominciato piuttosto malino!	®¤§Úª½¨¥¡A¥ı¥Í¡K¡K±z³o³B¹Ò¤£¤Ó§®¡I
se trata de neutralizar a amoniak y sus dos compinches, haciendoles tomar el elixir de la bondad, sirviendose para ello de su plato favorito. para capturar las cucarachas, que se pueden sacar del ojo tirando de la lengua mientras se pasa por las orejas, es aconsejable ponerse un guante. a amoniak s¢lo le gustan las mariquitas, aunque una cucaracha convenientemente maquillada puede sacar de apuros.	­n¨î¥ñªü¼¯¥§¨È©M¥L¨â­Ó¤â¤U¡A±o§â¤Íµ½ÃÄ¤ô²V¶i¥L­Ì³Ì·R¦YªºªF¦è¸Ì¡CÁ­½¸«ÜÃø·d¡A³Ì¦nÀ¹¤W¤â®M§ì¡Cªü¼¯¥§¨È¥u·R¿]ÂÎ¡A¦ı¥´§ê±o¹³ªºÁ­½¸À³¸Ó¤]¯àÃ©²V¹LÃö¡C
se volete penetrare nel castello non dovete passare per la porta!	·Q¶i«°³ù¡A§O¨«¤jªù¡I
see you! we've rescued the prince. Bye! we must rush!	¤Ó¦n¤F¡I¤ı¤l±Ï¦^¨Ó¤F¡A§Ú­Ì°{°Õ¡I
sehr geehrte hausfrau, k™nnten sie uns ihren einkaufskorb mal ausleihen?	³Ş¡A¤jÂT¡A¦³Äx¤l­É¤@¤U¶Ü¡H
sei gegršsst, verehrter gelehrter! sage bitte,wie funktioniert die maschine da?	±z¦n¡A´L¶Qªº¾ÇªÌ¡I³o¾÷¾¹¬O°µ¤°»ò¥Îªº¡H
sembra buona quella cosa l…! potresti darmene un pezzo?	¬İ°_¨Ó¤£¿ù¡I¯àµ¹§Ú¤@¶ô¶Ü¡H
set me free so i can teach that demon a lesson!	©ñ§Ú¤U¨Ó¡AÅı§Ú¦n¦n±Ğ°V¨º´cÅ]¡K¡K
si je peux me permettre monsieur... vous aVez l'air en triste posture!	®¤§Úª½¨¥¡A¥ı¥Í¡K¡K±z³o³B¹Ò¤£¤Ó§®¡I
si pu• usare l'attrezzo contenuto dentro la cassa solo attraverso l'azione combinata dei due gobliins. winkle la apre grazie ad una potente stella marina mentre fingus ne prende il contenuto stando sul ponte di prua. vi accede grazie alla conchiglia che cerca di prendere il pesce, il quale Š disturbato dal movimento del timone e spaventato da una murena.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
si quer‚is penetrar en el castillo, ­de ning£n modo entr‚is por la puerta!	·Q¶i«°³ù¡A§O¨«¤jªù¡I
si tratta di neutralizzare amoniak e i suoi due complici, facendo loro inghiottire del gentisir, misto al loro cibo preferito. per catturare gli scarafaggi, che si possono far uscire dallo occhio tirando sulla lingua mentre si passa per le orecchie, meglio infilare dei guanti! ad amoniak piacciono solo le coccinelle, ma uno scarafaggio ben truccato pu• sostituirle...	­n¨î¥ñªü¼¯¥§¨È©M¥L¨â­Ó¤â¤U¡A±o§â¤Íµ½ÃÄ¤ô²V¶i¥L­Ì³Ì·R¦YªºªF¦è¸Ì¡CÁ­½¸«ÜÃø·d¡A³Ì¦nÀ¹¤W¤â®M§ì¡Cªü¼¯¥§¨È¥u·R¿]ÂÎ¡A¦ı¥´§ê±o¹³ªºÁ­½¸À³¸Ó¤]¯àÃ©²V¹LÃö¡C
si tratta di un sondaggio! posso farle qualche domanda?	°µ­Ó°İ¨÷½Õ¬d¡A¯à°İ´X­Ó°İÃD¶Ü¡H
si voulez p‚n‚trer dans ce chƒteau n'empruntez surtout pas la porte!	·Q¶i«°³ù¡A§O¨«¤jªù¡I
si, pero me es imposible indicarlo puesto que me han quitado los dos ojos	ª¾¹D¡A¦ı§Ú²´·ú³Q°½¤F¡A«ü¤£¤F¸ô
siamo affamati! solo il notabile ha ancora qualcosa da mangiare...	§Ú­Ì§Ö¾j¦º¤F¡I¥u¦³¶m²Ô¦³±o¦Y¡C
sicher, da gibt's schon ein mittel! der muss einfach den freundtrunk bekommen!	·íµM¦³¿ìªk¡IÅı¥L³Ü¤U¤¯·OÃÄ¤ô´N¦æ¡I
sie wnschen?	¦³¤°»ò¨Æ¶Ü¡H
sieht wirklich gut aus, dieses zeug! kann ich ein stšck davon haben?	¬İ°_¨Ó¤£¿ù¡I¯àµ¹§Ú¤@¶ô¶Ü¡H
siempre consigues no dar golpe. pero yo te tengo el ojo encima!	ÁÙ¦b¨º®Ì°Ú¡H§Ú¨nµÛ§A­Ì©O¡I
so now the kid has disappeared without a trace!	¦n¤F¡A³o¤U¤p°­¤£¨£ÂÜ¼v¤F¡I
so now the kid's disappeared without a trace!	¦n¤F¡A³o¤U¤p°­¤£¨£ÂÜ¼v¤F¡I
so you're back in the village! go through this door, it leads to tazaar.	§A­Ì¦^§ø¤l°Õ¡I³o®°ªù³q©¹¶ğÂÄº¸¡I
so you're the big hellhound around herE	§A´N¬O³o¸Ìªº¦aº»¬İªùª¯¡H
so you're the big watchdog around herE!	§A´N¬O³o¸Ìªº¦aº»¬İªùª¯¡H
so, nase voll, hier im kreis zu gehen! sag uns wo's raus geht, tausendfšssler!	­ü¡AÂ¶°éÂ¶·Ğ¤F¡I¸¼°G¡A±a¸ô¥X¥h¡I
so, you old faggot, are you putting down roots?	¦Ñ¤ìÀY¡AÁÙ¦b¨ºÃä¥Í®Ú³á¡H
so, you old pile of sticks, are you putting down roots?	¦Ñ¤ìÀY¡AÁÙ¦b¨ºÃä¥Í®Ú³á¡H
sono il vero re di questi luoghi! e la mia corona pu• ridarmi la mia statura!	§Ú¤~¬O¯u¥¿ªº°ê¤ı¡I¬Ó«a¯àÅı§ÚÅÜ¦^­ì¼Ë¡I
sorry! I have no time!	©êºp¡I§Ú¨SªÅ¡I
sorry! I've no time!	©êºp¡I§Ú¨SªÅ¡I
stai attento che ti acchiappo, microbo, e ti torco il collo!	µ¹§Úµ¥µÛ¡A¯ä¤p°­¡A§ì¨ì´N§áÂ_§A²ä¤l¡I
strano, un occhio dentro un teschio!	©_©Ç¡A¾uÅ\¸Ì¦³°¦²´·ú¡I
such persistence! all right, you can come in.	¯u¬O¦ºÄñÄê¥´¡I¦n§a¡A¶i¨Ó§a¡C
s! ma non posso indicarvela perch‚ mi hanno rubato gli occhi!	ª¾¹D¡A¦ı§Ú²´·ú³Q°½¤F¡A«ü¤£¤F¸ô
s, bisogna mantenere in vita il fuoco con il mantice...	¹ï¡I­n¥Î­·½c§â¤õİµ©ô¡C
tenPaciencia, amigo herrero, estamos buscando lo que nos pediste.	­@¤ßÂI¡AÅK¦K¡A§Ú­Ì·|§ä§A­nªº¡K¡K
tengo por aqu¡ una mixtura. ­calent n- dola, todas las puertas se abren!	§Ú³o¦³²~ÃÄ¤ô¡A¥[¼ö«á¯à¥´¶}©Ò¦³ªºªù¡I
tes conseils nous sont pr‚cieux noble magicien! o— devons-nous aller?	¦hÁÂ«üÂI¡A¸Ó©¹­ş¨«¡H
thanks for quenching my thirst! i'll let you climb ON my hand...	ÁÂÁÂ§A¸Ñ¤F§Úªº´÷¡IÅı§Aª¦¨ì§Ú¤â¤W¡K¡K
thanks for quenching my thirst! i'll let you climb up my hand...	ÁÂÁÂ§A¸Ñ¤F§Úªº´÷¡IÅı§Aª¦¨ì§Ú¤â¤W¡K¡K
that looks good! could you give me a piece?	¬İ°_¨Ó¤£¿ù¡I¯àµ¹§Ú¤@¶ô¶Ü¡H
that was worth it, ducky, now you can see my handsome body!	­È±o§a¡AÄ_¨©¡A²{¦b¬İ¨ì§Úªº«Ó¨­§÷¤F¡I
that was worth it, ducky. now you can see my handsome body!	­È±o§a¡AÄ_¨©¡A²{¦b¬İ¨ì§Úªº«Ó¨­§÷¤F¡I
that's it! we've got work for you, artist!	¦n¤F¡I¦³¬¡­nµ¹§A°µ¡AÃÀ³N®a¡I
that's it! we've got work for you, smithy!	¦n¤F¡I¦³¬¡­nµ¹§A°µ¡AÃÀ³N®a¡I
the giant, forbidden by tazaar the wizard to enter the village due to his drunken behavior, stops anyone who tries to leave. to approach him, the dog must be knocked out by using the sausage pushed through a hole in the road. only the smell of a hotmeal can put the giant in a good mood. after that, fingus and winkle can give him food and drink.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
the giant, forbidden to enter the village by tazaar the magician, due to his drunken behaviour, stops anybody from leaving. to approach him, the dog must be knocked out with the help of the sausage slipped across a hole in the road. only the smell of a hot meal can put the giant in a good form. after that, fingus and winkle can give him a meal.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
the giant, forbidden to enter the village by tazaar the wizard due to his drunken behaviour, stops anybody from leaving. to approach him, the dog must be knocked out with the help of the sausage slipped across a hole in the road. only the smell of a hot meal can put the giant in good form. after that, fingus and winkle can give him a meal.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
the new king only eats that. i slide them in under the steps.	·s°ê¤ı¥u¦Y³o­Ó¡I§Ú±q¶¥±è¤Uªº¬}¶ë¶i¥h¡I
the new king will only eat ladybugs. i slide them in under the steps.	·s°ê¤ı¥u¦Y³o­Ó¡I§Ú±q¶¥±è¤Uªº¬}¶ë¶i¥h¡I
the tool in the chest is accessible only through the combined action of the gobliins. winkle opens it with the help of a big starfish, while fingus takes the contents from the top deck. he gets there thanks to the shellfish that wants the fish, which in turn is disturbed by a rudder movement and scared by a moral eel.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
the tool in the chest is accessible only through the combined action of the gobliins. winkle opens it with the help of a big starfish, while fingus takes the contents from the top deck. he gets there thanks to the shellfish that wants the fish, which in turn is disturbed by a rudder movement and scared by a moray eel.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
the tool in the chest is accessible only through the combined action of the gobliins. winkle opens the chest withthe help of a big starfish while fingus takes the contentsfrom the top deck. fingus gets there thanks to the shellfish that wants the fish, which in turn is disturbed by a rudder movement and scared by a moray eel.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
the unbearable anguish of his poor father...	¥i¼¦¦Ñª¨µh¤£±ı¥Í¡K¡K
they want to eat you too?	¥L­Ì¤]·Q¦Y§A¡H
this demon has ousted our good king and reigns in his place.	¨e¿y¤F¤ı¦ì¡A´«¦Û¤v·í®a¡K¡K
this guy is too vigilant. we'll occupy him elsewhere...	³o³Ã¥ë¤ÓÄµÄ±¤F¡A±o¤Ş¶}¥L¡K¡K
this is a hold up! gimme the money!	¥´§T¡I¿ú³q³q¥æ¥X¨Ó¡I
this is a hold up! gimme the money!!!	¥´§T¡I¿ú³q³q¥æ¥X¨Ó¡I
this junk is useless if you don't have the key's imprint!	¨S¦³Æ_°Í©İ¦L¡A³o°ï¼oÅK¨S¥Î¡I
ti portiamo un fungo, collega! attenzione, Š buono!	¦Ñ¥S¡A³oÄ¨Û£°e§A¡A¶W¦n¦Yªº¡I
tiene aroma de miel. ¨sabe bien?	»D°_¨Ó¹³¸Á»e¡A¯à¦Y¶Ü¡H
tiens rebonjour monsieur l'arbre! je ne pensais pas vous revoir de si t“t!	¾ğ¥ı¥Í¡A¤S¨£­±¤F¡I¨S·Q¨ì³o»ò§Ö¡I
to neutralise oumkapok, one of the meatballs made by the cook must be sprinkled with the elixir of kindness. so, the gobliins must arouse oumkapok's anger (he does not like meatballs to be too spicy) and take advantage of the moment when he attacks the cook, by slipping a thumb tack on the case. to get to the thumb tacks, the chain of colibrius must be sawn through, - he's the guy in the cooking-pot who supplies the tool.	­n¨î¥ñ¯Î¥dªi¡A±o§â¤Íµ½ÃÄ¤ôÅx¶i¼p®v°µªº¦×¤Y¸Ì¡C±o¥ı·S¥L¥Í®ğ¡]¥L³Ì°Q¹½¦×¤Y¤Ó»¶¡^¡A¶X¥L¼³¦V¼p®v®É¡A§â¹Ï°v©ñ¤W´È¹Ô¡C±o¥ı¿÷Â_¬ì§Q¤ñªºÂêÃì¤~®³±o¨ì¹Ï°v¡AÁç¸Ìªº¤p¤H·|µ¹§A¤u¨ã¡C
to neutralize oumkapok, one of the meatballs made by the cook must be sprinkled with the elixir of kindness. so, the gobliins must arouse oumkapok's anger (he does not like meatballs to be too spicy) and take advantage of the moment when he attacks the cook, by slipping a thumb tack onto the case. to get to the thumb tacks, the chain by colibrius must be cut. the guy in the cooking pot will supply the tool.	­n¨î¥ñ¯Î¥dªi¡A±o§â¤Íµ½ÃÄ¤ôÅx¶i¼p®v°µªº¦×¤Y¸Ì¡C±o¥ı·S¥L¥Í®ğ¡]¥L³Ì°Q¹½¦×¤Y¤Ó»¶¡^¡A¶X¥L¼³¦V¼p®v®É¡A§â¹Ï°v©ñ¤W´È¹Ô¡C±o¥ı¿÷Â_¬ì§Q¤ñªºÂêÃì¤~®³±o¨ì¹Ï°v¡AÁç¸Ìªº¤p¤H·|µ¹§A¤u¨ã¡C
to reach the castle, throw some of the sand of time into the trenches!	·Q¶i«°³ù¡A§â®É¶¡¨F¥á¶iÀ¢·¾¡I
to reach the kingdom of death, you must find in tazaar's place the mixture which, at the right temperature, will open all the doors. to do this, the gobliins must annoy the magician a bit, in order to recover some objects, including one to release the skeleton.	­n¥h­ß¬É¡A±o¥ı¦b¶ğÂÄº¸¨º¸Ì§ä¨ì¨º²~ÃÄ¤ô¡A¥[¼ö¨ì¹ïªº·Å«×´N¯à¥´¶}©Ò¦³ªºªù¡C±o·Q¿ìªk·S´o³o¦ìÅ]ªk®v¡A¤~¯à¶¶¤â®³¨ì´X¼ËªF¦è¡A¨ä¤¤¤@¼Ë¯à§â¾uÅ\©ñ¥X¨Ó¡C
to reach the kingdom of gloom and doom, you must find in tazaar's place the mixture which, at the right temperature, will open all the doors. to do this, the gobliins must annoy the magician a bit in order to recover some objects, one of which will release the skeleton.	­n¥h­ß¬É¡A±o¥ı¦b¶ğÂÄº¸¨º¸Ì§ä¨ì¨º²~ÃÄ¤ô¡A¥[¼ö¨ì¹ïªº·Å«×´N¯à¥´¶}©Ò¦³ªºªù¡C±o·Q¿ìªk·S´o³o¦ìÅ]ªk®v¡A¤~¯à¶¶¤â®³¨ì´X¼ËªF¦è¡A¨ä¤¤¤@¼Ë¯à§â¾uÅ\©ñ¥X¨Ó¡C
toglimi da qui in modo che io possa punirequel demone a dovere ...	©ñ§Ú¤U¨Ó¡AÅı§Ú¦n¦n±Ğ°V¨º´cÅ]¡K¡K
toi aussi on veut te manger?	¥L­Ì¤]·Q¦Y§A¡H
toi montes ici un peu si tu l'oses... le tapis est l… pour ‡a!	¦³ºØ´N¤W¨Ó°Ú¡A¦a´à´N¬O·F³o­Ó¥Îªº¡I
tom, unseren uhrmachermeister! klopft doch einfach zweimal kurz an seine Tr!	¨º¬OÄÁ¦K´ö©i®a¡A»´ºV¨â¤U´N¹ï¤F¡I
too risky! we'll have to scare him more...	¤Ó«_ÀI¤F¡I±o¦A¦hÀ~À~¥L¡K¡K
too risky! we'll have to scare him some more...	¤Ó«_ÀI¤F¡I±o¦A¦hÀ~À~¥L¡K¡K
trotz seines hohen alters hat der immer immer noch einen strahlenden blick!	¥L¦~¬öÁö¤j¡A²´¯«ÁÙ¬O«Ü¦³¯«¡I
tu n'as plus qu'… le suivre superman! il est maintenant au pays des morts!	¶W¤H¡A§A¥u¯à¥h°l¥L°Õ¡I¥L²{¦b¦b­ß¬É¡I
tu perds ton tempsminus, ici il n'y a que des sabliers...	¥Õ·ö¡A§O®ö¶O®É¶¡¡A³o¸Ì¥u¦³¨Fº|¡K¡K
t£ sube aqu¡ un rato si te atreves... ­lA alfombra est  para eso!	¦³ºØ´N¤W¨Ó°Ú¡A¦a´à´N¬O·F³o­Ó¥Îªº¡I
um ins totenreich zu kommen, muss man bei tazaar die mischung finden, die bei der richtigen temperatur alle tren aufmacht. DAZU MšSSen die gobliins den zaubermeister ein wenig aus der ruhe bringen, um dann ein paar dinge zu klauen... unter anderem eines, das hilft, das skelett frei zu bekommen.	­n¥h­ß¬É¡A±o¥ı¦b¶ğÂÄº¸¨º¸Ì§ä¨ì¨º²~ÃÄ¤ô¡A¥[¼ö¨ì¹ïªº·Å«×´N¯à¥´¶}©Ò¦³ªºªù¡C±o·Q¿ìªk·S´o³o¦ìÅ]ªk®v¡A¤~¯à¶¶¤â®³¨ì´X¼ËªF¦è¡A¨ä¤¤¤@¼Ë¯à§â¾uÅ\©ñ¥X¨Ó¡C
um oumkapok zu neutralisieren, muss man eine der bouletten mit dem freundtrunk begiessen, die der koch ihm zubereitet. dazu mšssen die gobliins den zorn von oumkapok provozieren, der nun wirklich keine zu stark gewrzten bouletten mag, und dann von dem augenblick profitieren, wo er den koch verprgeln will, um eine heftzwecke auf die kiste zu legen. An die heftzwecken kommt man, wenn man die kette von colibrius durchs„gt. das werkzeug bekommt man von dem m„nnchen im kochtopf.	­n¨î¥ñ¯Î¥dªi¡A±o§â¤Íµ½ÃÄ¤ôÅx¶i¼p®v°µªº¦×¤Y¸Ì¡C±o¥ı·S¥L¥Í®ğ¡]¥L³Ì°Q¹½¦×¤Y¤Ó»¶¡^¡A¶X¥L¼³¦V¼p®v®É¡A§â¹Ï°v©ñ¤W´È¹Ô¡C±o¥ı¿÷Â_¬ì§Q¤ñªºÂêÃì¤~®³±o¨ì¹Ï°v¡AÁç¸Ìªº¤p¤H·|µ¹§A¤u¨ã¡C
um zum schloss zu kommen, wirf ein bisschen zeitsand in den burggraben!	·Q¶i«°³ù¡A§â®É¶¡¨F¥á¶iÀ¢·¾¡I
un bambino indifeso rapito daun demone!	¼b®zªº«Ä¤l³Q´cÅ]¾Û¨«¤F¡I
un castello maledetto in una contrada ostile.	¯î¦a¸Ì¦³®y³Q¶A©Gªº«°³ù
un castillo maldito, un enclave en una comarca hostil	¯î¦a¸Ì¦³®y³Q¶A©Gªº«°³ù
un chƒteau maudit ancr‚ dans une contr‚e hostile	¯î¦a¸Ì¦³®y³Q¶A©Gªº«°³ù
un fragile enfant enlev‚ de son foyer par un d‚mon!	¼b®zªº«Ä¤l³Q´cÅ]¾Û¨«¤F¡I
una candela! ma non bisogna farne una questione!	¤@®ÚÄúÀë¡H¨S¤°»ò¤j¤£¤Fªº¡I
und jetzt ist die rotznase verschwunden ohne eine adresse zu hinterlassen!	¦n¤F¡A³o¤U¤p°­¤£¨£ÂÜ¼v¤F¡I
und nun, edler zaubermeister, was k”nnen wir jetzt tun?	´L¶QªºÅ]ªk®v¡A²{¦b§Ú­Ì¯à°µ¤°»ò¡H
und warum sollte ich dir flegel helfen, ungezogen und rotzig wie du bist!?!	¦º¤p¤l¡A§Ú·F¹ÀÀ°§A¡H§A©Ç©Çªº¡K¡K
und wenn ich ein andenken von hier mit- n„hme, bevor ich dieses zeug runterkipp	³Ü³o°­ªF¦è«e¡A¥ı®³­Ó¬ö©À«~¦n¤F¡H
und wie! er hat mich ja zum offiziellen k™nigLichen K–chenmeister ernannt!	·íµM·R°Ú¡I¥LÁÙ«Ê§Ú·í±s¥Î¸Õµæ©x©O¡I
und woher soll ich wissen, ob ihr lobenswerte motive habt, ihr schlingel?	½Ö»¡§A­Ì¥h¨º¬O¦³¥¿·í²z¥Ñ¡H
und, sind sie's jetzt zufrieden?	³o¼Ë§Aº¡·N¤F¶Ü¡H
und, wie stehts, noch durst?	³o¦¸¤£´÷¤F¶Ü¡H
une bougie! pas de quoi en faire un plat!	¤@®ÚÄúÀë¡H¨S¤°»ò¤j¤£¤Fªº¡I
unhook me so i can teach that demon a lesson ...	©ñ§Ú¤U¨Ó¡AÅı§Ú¦n¦n±Ğ°V¨º´cÅ]¡K¡K
unsere beiden abenteu- rer drangen immer mehr in die tiefen einer un- bekannten, bizarren unterwasserwelt vor...	¨â¦ì«_ÀIªÌ¡A²`¤J­¯¥Í®ü©³¥@¬Éªº«Õ·t²`²W¡K¡K
valeva la pena, bellezza, di poter contemplare il mio corpo d'atleta, no?!	­È±o§a¡AÄ_¨©¡A²{¦b¬İ¨ì§Úªº«Ó¨­§÷¤F¡I
vamos, baja, ­mocoso! ­tenemos cosas m s importantes que hacer!	§Ö¤U¨Ó¡A¯ä¤p¤l¡I§Ú­ÌÁÙ¦³¨Æ­n¿ì¡I
vamos, gran holgaz n, es la hora... ­arriba y mu‚vase!	§ÖÂI°ÕÃi°©ÀY¡A¸Ó°_§É¤F¡I
vattene microbo! mi fai ombra! non vedi che sono a mollo!	ºu°Õ²Â³J¡I§A¾×¨ì¥ú¤F¡A¨S¬İ¨ì§Ú¦bªw¤ô¡H
versuch du ruhig mal, hoch zu kommen! der teppich ist dazu da,wenn du's wagst	¦³ºØ´N¤W¨Ó°Ú¡A¦a´à´N¬O·F³o­Ó¥Îªº¡I
veuillez recevoir ce modeste pr‚sent! il semble que ce soit un must!	½Ğ¯º¯Ç³o¥÷Á¡Â§¡AÅ¥»¡¶WÉqªº¡I
vogliate accettare questo modesto omag- gio! pare non ci sia niente di meglio!	½Ğ¯º¯Ç³o¥÷Á¡Â§¡AÅ¥»¡¶WÉqªº¡I
vogliono mangiare anche te?	¥L­Ì¤]·Q¦Y§A¡H
vous d‚sirez?	¦³¤°»ò¨Æ¶Ü¡H
vous habitez chez vos parents?	§AÁÙ¸òª¨¶ı¦í³á¡H
vous l'aimez tant votre nouveau roi, que vous le peigniez avec cette ardeur!	§A­Ì³o»ò·R·s°ê¤ı¡Aµe±o³o»ò°_«l¡I
