# 由 tools/merge_units.py 從 translation/out/*.tsv 產生，**不要直接編輯這個檔**——下次合併會蓋掉。
!	！
!!	！！
!!!	！！！
in der umgebung des schlosses steht die welt auf dem kopf! wenn man in eine der türen des uhrenbaums eintritt, weiss man nie, wo man wieder herauskommen wird... damit die tür von tom, dem uhrmachermeister aufgemacht wird, muss man die aufmerksamkeit des bürgermeisters mit einem ball ablenken. aber tom wird nur dann einen beweis seines kunst liefern, wenn sie das tickgerausch seiner uhr in eine melodie verwandeln, die kunstvoll von musikern aus wenigen noten komponiert wurde.	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
in ordnung, rauschebart, aber dann auf, und zeige uns den weg!	好啦鬍子佬！快指路，動動腦！
introbb	introbb
is there something else we have to do?	還缺什麼東西嗎？
is there something still missing?	還缺什麼東西嗎？
ist gelungen, dein porträt! aber warum ist da ein marienkäfer, sag?	畫得不錯，藝術家！那裡怎麼有隻瓢蟲？
it belongs to tom, our master clock- maker. give 2 short knocks on his door!	那是鐘匠湯姆家，輕敲兩下就對了！
it wasn't really a pleasure, carnival! so bye-bye!	認識你真夠倒楣，臭丑角，掰掰！
it's a bucket... so what?	這是個印章……那又怎樣？
it's a fine picture, but why is that ladybird there?	畫得不錯，藝術家！那裡怎麼有隻瓢蟲？
it's a fine picture, but why is that ladybug there?	畫得不錯，藝術家！那裡怎麼有隻瓢蟲？
it's a nice candle but it's got no wicK...	漂亮的蠟燭，可惜沒燭芯。
it's a nice candle, but it has no wicK...	漂亮的蠟燭，可惜沒燭芯。
it's a seal... so what?	這是個印章……那又怎樣？
it's a shrinking machine which the terrible demon forced me to make.	這是縮小機，是那可怕的惡魔逼我造的！
it's a shrinking machine. that terrible demon forced me to buildit!	這是縮小機，是那可怕的惡魔逼我造的！
it's at the end of the village, the house with the fountain...	在村子盡頭，有噴泉那間。
it's been a real pleasure, slimeball, but we have to go! bye-bye!	認識你真夠倒楣，臭丑角，掰掰！
it's for a survey, can i ask you a few questions?	做個問卷調查，能問幾個問題嗎？
it's for a survey. can i ask you a few questions?	做個問卷調查，能問幾個問題嗎？
it's for an hourglass? right,so replace the clocks tock-tock with a melody!	要沙漏？好，把鐘的滴答換成旋律吧！
it's hard! we get eaten all the time here. have you seen my brother?	苦啊！這裡老是被吃！你見過我兄弟嗎？
it's hard, we get eaten all the time here. have you seen my brother?	苦啊！這裡老是被吃！你見過我兄弟嗎？
it's not an impossibility, but to find it you need to have real sailor-muscle!	不是沒可能，但得有水手的肌肉才行！
it's not an impossibility, but to open them 'need to have real sailor-muscle!	不是沒可能，但得有水手的肌肉才行！
it's the first time i've seen a cockroach wearing sneakers & shades!	第一次看到蟑螂戴墨鏡穿球鞋！
it's the first time i've seen a cockroach wearing trainers & raybans!	第一次看到蟑螂戴墨鏡穿球鞋！
j'ai quelque part ici une mixture qui ,chauffée ,ouvre toutes les portes!	我這有瓶藥水，加熱後能打開所有的門！
ja, die asche muss mit dem blasebalg wieder angefacht werden...	對！要用風箱把火搧旺。
ja, ihr kommt mir gerade recht, mich juckt die gitarre, also ich kratz los!	好啊好啊！我手癢正想彈吉他呢……
jamais! par votre faute je me retrouve ici enfermé au royaume des morts!	不！我會困在冥界都是你們害的！
je connais cette affaire. C'est l'ignoble AMONIAK qui détient l'enfant	我知道，是可惡的阿摩尼亞抓走的
je ne peux pas forger la clé si vous ne me donnez pas son empreinte!	沒有拓印，我打不出鑰匙！
je suis le vrai roi de ces lieux! seule ma couronne peut me rendre ma taille...	我才是真正的國王！皇冠能讓我變回原樣！
just follow him, superman! he's in the land of gloom and doom now!	超人，你只能去追他啦！他現在在冥界！
kael aconseja a los gobliins que le den una golosina a la ninfa para que señale la seta que hay que mostrarle a vivalzart, la garza melómana e insomniaca, para que ésta abra su puerta. la miel, que se consigue introduciendo una flor en el refugio de la abeja, es el solo regalo que puede hacer que la ninfa perdone la interrupción de su siesta.	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kael advices the gobliins to give the nymph a tasty treat so she will indicate the right mushroom to show to vivalzart, (the music-loving and insomniac heron), so he will open his door. only honey, got by slipping a flower to the bee, will be an acceptable present for interrupting her siesta.	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kael advises the gobliins to give the nymph a tasty treat so she will indicate the right mushroom to show to vivalzart, (the music-loving and insomniac heron), so he will open his door. only honey, got by slipping a flower to the bee, will be an acceptable present for interrupting her siesta.	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kael advises the gobliins to give the nymph a tasty treat. she will then point out the right mushroom to show to vivalzart, so the mushroom and music loving heron will open his door. only honey, acquired by slipping a flower to the bee, will be an acceptable present for interrupting her siesta.	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kael conseille aux gobliins de donner une friandise à la nymphe pour qu'elle indique le bon champignon à montrer à vivalzart, (le héron mélomane et insomniaque) pour qu'il ouvre sa porte. seul du miel, obtenu en glissant une fleur dans le refuge de l'abeille, sera un présent suffisant pour se faire pardonner de la déranger dans sa sieste.	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kael consiglia ai gobliins di dare alla ninfa una ghiottoneria perché indichi il fungo giusto da mostrare a vivalzart, l'airone melomane e insonne. solo il miele, ottenuto facendo scivolare un fiore nel nascondiglio dell'ape, sarà l'unico regalo adatto per farsi perdonare di aver disturbato la ninfa durante il suo pisolino.	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kael rät den gobliins, der nymphe einen kleinen lecker- bissen anzubieten, damit sie ihnen den pilz zeigt, der für vivalzart (den reiher, der musik- liebhaber, und von schlaflosigkeit geplagt ist) bestimmt ist, damit er ihnen die tür öffnet. nur honig, den man erhält, wenn man eine blume in die behausung der biene gibt, wäre eine gabe, die es möglich macht, seine vergebung dafür zu erlangen, das man seine siesta gestört hat!	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
kein vergnügen, dich zu kennen,carnaval tschau! machen wir, dass wir wegkommen!	認識你真夠倒楣，臭丑角，掰掰！
know, varlet, that i am a great king! it is the demon who keeps me locked up.	臭小子，我可是偉大國王！惡魔把我關這！
know, varlet, that i'm a great king. it is the demon who's keeping me locked up	臭小子，我可是偉大國王！惡魔把我關這！
komm schon runter, rotznase! meinst wohl wir hätten sonst nichts zu tun...	快下來，臭小子！我們還有事要辦！
kommt nicht in frage, du krÜmelmonster! hab gar keine lust, mit dir zu kommen!	想都別想，怪物！我才不跟你走！
kusch, gib pfötchen, du missglückte ninja-schildkrÖte!	躺下，你這隻假忍者龜！
l'est réussi ton portrait l'artiste! pourquoi y-a-t'il une coccinelle là?	畫得不錯，藝術家！那裡怎麼有隻瓢蟲？
la douleur insupportable d'un père effondré...	可憐老爸痛不欲生……
la herramienta contenida en el baúl solo es accesible mediante la acción conjunta de los dos gobliins. winkle lo abre valiendose de una imponente estrella de mar, mientras fingus recoge una muestra de su contenido desde la cubierta delantera. accede a ella gracias a la concha que está al acecho del pez, el cual a su vez está molesto por el movimiento del timón, y atemorizado por una murena.	箱子裡的工具得靠兩隻小精靈合作才拿得到。溫可用一隻大海星把箱子撬開，芬格斯斯則從前甲板拿東西，他得靠貝殼去搶那條魚，魚會被舵的擺動嚇到，又被海鰻嚇一跳，才會亂動讓貝殼得手。
laissez-nous passer je vous prie!	拜託讓我們過去啦！
lang lebe der könig! ich werde sofort jemand suchen, der dich da losbekommt!	國王萬歲！我這就去找人來幫忙解開他！
lasciateci passare, vi prego!	拜託讓我們過去啦！
lasst mich raus! lasst mich frei! da draussen wartet meine liebe auf mich	放我出去！放我出去！我的愛人在外等我！
le Prince bouffon ayant absorbé un champignon soporifique entraine les gobliins dans son rêve ludique. Pour le dégager de la bulle dans laquelle les gobliins auront pris soin de l'emprisonner, ils devront se procurer une épingle en jouant de l'effet de catapulte d'un couvercle, après s'être positionné dessus avec une boule de bowling.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
le géant, interdit de village par tazaar le magicien, suite à ses excès de beuverie, empêche quiconque de sortir. pour l'approcher il faut momentanément assommer le chien à l'aide du saucisson glissé à travers une ornière de la route. seule une odeur de repas chaud pourra le mettre en de bonnes dispositions. après quoi fingus et winkle pourront lui donner à boire et à manger.	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯斯和溫可才能請他吃喝。
le nouveau roi ne mange que ça! je les glisse par le trou en bas des marches!	新國王只吃這個！我從階梯下的洞塞進去！
leave the village and go to the castle beware! a giant is blocking the road.	離開村子往城堡！小心飢餓巨人擋路！
leave the village and go to the castle. beware! a giant is blocking the road.	離開村子往城堡！小心飢餓巨人擋路！
les deux aventuriers descendirent dans les profondeurs insondables d'un monde sous-marin étrange et inconnu...	兩位冒險者，深入陌生海底世界的幽暗深淵……
les gobliins rentrèrent triomphalement au village lorsqu'ils s'aperçurent que le bouffon avait pris un air étrange...	小精靈凱旋回村，卻見小丑神色有異……
let us pass, please!	拜託讓我們過去啦！
liberatemi! liberatemi! il mio amore mi sta aspettando!	放我出去！放我出去！我的愛人在外等我！
lieben sie den neuen kÖnig so sehr, dass sie mit soviel begeisterung malen?	你們這麼愛新國王，畫得這麼起勁！
lieber herr, sie können uns sicher mit ihren einfluß helfen, oder?!?	大人這麼有派頭，能否助我們一臂之力？
lieber uhrmachermeister, wir hätte gern Einen beweis ihres grossen talents...	親愛的大師，想見識您的手藝……
lima	銼刀
long live the king! i'll go and find someone to help me release him!	國王萬歲！我這就去找人來幫忙解開他！
los gobliins regresaron triunfalmente a la aldea. Entonces advirtieron que el bufón tenía una pinta extraña...	小精靈凱旋回村，卻見小丑神色有異……
los, kleiner, müssen wir den kran holen?	快點啦懶骨頭，該起床了！
lucky you've got my friend! a steady job, no worries!	運氣真好啊，朋友！穩定工作沒煩惱……
m'en parlez pas! mais vous, vous pouvez utiliser la carte magique pour ça!	別提了！不過你們可以用魔法卡！
ma... c'è un barlume di speranza!	但是還有救！
mach, dass du wegkommst, mini-goliath! siehst du nicht, dass ich hier bade?!?	滾啦笨蛋！你擋到光了，沒看到我在泡水？
mai! è colpa vostra se mi ritrovo rinchiuso nel regno dei morti!	不！我會困在冥界都是你們害的！
mais tout n'est pas perdu!	但是還有救！
malgré son âge avancé, il aencore le regard vif Lui!	他年紀雖大，眼神還是很有神！
manca ancora qualcosa?	還缺什麼東西嗎？
materializzati da modemus, fingus e winkle appaiono nel villagGio contiguo al castello invaso da amoniak. i paesani fanno la faccia scura. il notabile è l'unico a possedere un salame succulento. i due gobliins devono per forza rubarglielo. per questo bisogna addormentare il notabile con un fiore che avranno fatto crescere.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
mein ärmster, wollen die sie etwa verspeisen?! Los, ich helf ihnen raus!!	可憐的朋友，他們想煮了你！我們救你
merci d'avoir étanché ma soif! toi, je te permets de monter sur ma main...	謝謝你解了我的渴！讓你爬到我手上……
metti piuttosto in funzione il mantice e smettila di annoiarmi!	去搧風箱啦，別在這煩我！
mi dispiace! non ho tempo...	抱歉！我沒空！
mica male il ritratto, artista! perché mai c'è una coccinella là?	畫得不錯，藝術家！那裡怎麼有隻瓢蟲？
mit allem gebührenden Respekt muss ich sagen: sie sind gar nicht mein typ!	恕我直言，你真的不是我的菜！
mit dem inhalt des schranks der wachleute ausgerüstet, dessen schlüssel dank des abdrucks und ein bisschen eisenabfall geschmiedet wurde, müssen die beiden den deckel des brunnens hochheben, indem sie schwarzy an den flaschenzug hängen. das klappt nur, wenn man ihn ablenkt: während fingus die kinnlade des monsters bewegt, muss WINKLE in sein maul sprechen. dann muss man den schwarzy so erschrecken, dass er das gleichgewicht verliert...	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
mit verlaub, verehrter herr, ihre lage ist nicht gerade beneidenswert!	恕我直言，先生……您這處境不太妙！
modemus materializa a fingus y a winkleen el castillo tomado por amoniak.Los aldeanos están cariacontecidos. el cacique es el único poseedor de un exquisito salchichón, que protege ferózmente de la codicia ajena. ambos gobliins tienen que hacerse con él. para ello hay que dormir al cacique por medio de una flor que previamente habrán hecho crecer.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
modemus materializes fingus and winkle in the village next to the castle taken over by amoniak. the villagers look unhappy. only the notable has a delicious sausage which he guards ferociously from the others. the two gobliins must get it. to do so, they have to put the notable to sleep with a flower that they will have carefully grown.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
modemus materializes fingus and winkle in the village next to the castle that has been taken over by amoniak. the villagers look unhappy. only the notable has a delicious sausage which he guards ferociously from the others. the two gobliins must get it. to do so, they have to put the notable to sleep with a flower that they have carefully grown.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
modemus matérialise fingus et winkle dans le village jouxtant le château investi par amoniak. les villageois y font triste mine. Seul le notable détient un succulent saucisson qu'il protège férocement de la convoitise d'autrui. les deux gobliins doivent se l'approprier. pour ce faire, il faut endormir le notable grâce à une fleur qu'il auront eu soin de faire pousser.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
modemus matérialise fingus et winkle dans le village jouxtant le château investi par amoniak. les villageois y font triste mine. Seul le notable détient un succulent saucisson qu'il protège férocement de la convoitise d'autrui. les deux gobliins doivent se l'approprier. pour ce faire, il faut endormir le notable grâce à une fleur qu'ils auront eu soin de faire pousser.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
modemus versetzt fingus und winkle ins dorf neben dem schloss das von amoniak besetzt wurde. die dörfler sehen nicht gerade glücklich aus. nur der vornehme herr hat eine saftige wurst, die er rrgwöhnisch bewacht, damit keiner sie ihm klaut. die beiden gobliins Müssen sie in ihren besitz bringen. dafÜr müsssen sie den herren mit einer blume einschläfern, die sie wachsen lassen müssen.	摩德姆斯把芬格斯斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
moment mal... ich glaube, ich hab' da was ganz wichtiges zu nehmen vergessen!	不，我好像忘了拿樣有用的東西……
much too spicy!inedible! wretch! these meat balls are much too spicy!	難吃死了！這些肉丸辣過頭了！
munis du contenu de l'armoire des gardes, dont la clé aura été forgée dans de la ferraille grâce à son empreinte, les gobliins doivent soulever le couvercle du puits en accrochant schwarzy au palan. ils n'y parviendront qu'en détournant son attention: tandis que fingus actionne la mâchoire du monstre, WINKLE parle par sa bouche. il faudra ensuite effrayer schwarzy pour lui faire perdre l'équilibre...	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
muniti del contenuto dell'armadio delle guardie, la cui chiave è stata fabbricata grazie all'impronta avuta, i gobliins devono sollevare il coperchio del pozzo appendendo schwarzy al paranco. ci riusciranno distraendolo : mentre fingus mette in azione la mascella del mostro, winkle parla attraverso la sua bocca. bisognerà poi spaventarlo per fargli perdere l'equilibrio...	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
muy bien: vendemos cepillos...	其實，我們是來賣刷子的……
müssen diese beiden maulaffen ein bißchen ableken...	得想辦法引開這兩個老頭子。
na, alter ast! wie schaut's? willste endlich wurzeln schlagen?	老木頭，還在那邊生根喔？
nachdem der narrenprinz den schlafbringenden pilz verzehrt hat, zieht er die gobliins in seine traumspiele mit hinein... um ihn aus der blase herauszube- kommen, in den ihn die beiden vor- sichtshalber eingeschlossen haben, müssen sie eine nadel bekommen, indem sie einen deckel als katapult benutzen, auf dem sie sich mit einer bowlingkugel gestellt haben.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
near the doomed castle everything has gone crazy. when you go into the house it's difficult to know where you'll come out. to open the door of tom, the master clockmaker, you need the help of the mayor, once you get his attention. But tom won't give the gobliins an example of his skill until they replace the awful tick-tock of his clock with a short melody composed by talented musicians.	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
nehmt doch den teppich, wenn ihr mich sehen wollt. von hier hör ich nichts!	借地毯上來見我，這裡聽不清楚！
nei paraggi del castello tutto appare sconvolto. quando si entra nell'albero, è difficile immaginare quale sia l'uscita... per farsi aprire la porta di tom, il mastro-orologiaio, bisogna chiedere aiuto al borgomastro di cui sarà attirata l'attenzione. ma tom consegnerà ai gobliins un esempio della sua arte solo se riusciranno a sostituire il tic-tac discordante dell'orologio con alcune note di una melodia composta da qualche musicista di talento	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
nein danke! aber ich gestatte euch, einen apfel zu nehmen, wenn ihr wollt!	不行！不過你們可以拿顆蘋果！
nein! aber perlen und diamenten in mengen, wenn man nur richtig sucht!	沒有！但仔細找就有珍珠和鑽石……
nein! hunger hab ich, wolfshunger!	不行！我餓了！真的餓了！
nein, ich bin hier eingesperrt, damit ich meine trauer in gesang umsetze...	不，把我關在這唱悲歌……
nein, nein - ich hab vielzu viel respekt vor der hohen kochkunst dafÜr!	不行，我太尊重廚藝了……
nein, vooorsicht, das läuft über... und dann schmeisst er das ganze weg!	不行，會滴出來，他會把它丟掉……
nein... eher ziemlich kÜhl!	不……有點涼呢！
never! it's your fault I'm here in the in the kingdom of gloom and doom!	不！我會困在冥界都是你們害的！
never! it's your fault I'm here in the kingdom of death!	不！我會困在冥界都是你們害的！
niente da fare mostriciattolo! non voglio venire con te!	想都別想，怪物！我才不跟你走！
nimm mich da runter, damit ich es dem dämonen zeigen kann, der kriegt seins..	放我下來，讓我好好教訓那惡魔……
no ... piuttosto freschetto !	不……有點涼呢！
no hope of that, you monster! i don't want to go with you!	想都別想，怪物！我才不跟你走！
no! but there may be pearls and diamonds if you look really hard...	沒有！但仔細找就有珍珠和鑽石……
no! but there must be pearls and diamonds if you really look hard...	沒有！但仔細找就有珍珠和鑽石……
no! but you've my permission to take an apple.	不行！不過你們可以拿顆蘋果！
no! ho fame! ho fame!	不行！我餓了！真的餓了！
no! i'm hungry! i'm starving!	不行！我餓了！真的餓了！
no! i'm hungry, i'm starving!	不行！我餓了！真的餓了！
no! ma perle e diamanti in abbondanza se si cerca bene...	沒有！但仔細找就有珍珠和鑽石……
no! ma vi autorizzo a prendere una mela se volete!	不行！不過你們可以拿顆蘋果！
no, but you have my permission to take an apple.	不行！不過你們可以拿顆蘋果！
no, i think i've left something really useful...	不，我好像忘了拿樣有用的東西……
no, i think we left something really useful...	不，我好像忘了拿樣有用的東西……
no, mi rinchiudono qui perché canti la mia tristezza...	不，把我關在這唱悲歌……
no, they put me in the cage just to hear me sing of my unhappiness!	不，把我關在這唱悲歌……
no, they put me in the cage to sing my unhappiness...	不，把我關在這唱悲歌……
no... it's rather chilly!	不……有點涼呢！
no... me parece que he olvidado un objeto muy útil.	不，我好像忘了拿樣有用的東西……
no... mi sembra di aver dimenticato qualche oggetto molto utile...	不，我好像忘了拿樣有用的東西……
no... rather chilly!	不……有點涼呢！
no... ¡más bien fresquito!	不……有點涼呢！
nobile borgomastro, a chi appartiene questa bella casa sempre chiusa?	尊貴的村長，那間打死不開的房子是誰的？
nobile mago, ci concede di incontrarla?	尊貴的巫師，請容我們求見。
nobile mago, può aiutarci a far bere il principe?	尊敬的法師，能幫王子喝水嗎？
nobile musicista potrebbe interpretare una variazione di sua scelta?	尊貴的樂手，能為我們變奏一曲嗎？
noble bourgmestre à qui est cette jolie maison qui reste obstinément close?	尊貴的村長，那間打死不開的房子是誰的？
noble burgomaestre, ¿de quién es esa casa tan bella y tozudamente cerrada?	尊貴的村長，那間打死不開的房子是誰的？
noble burgomaster, whose is that lovely house which refuses to open?	尊貴的村長，那間打死不開的房子是誰的？
noble magician, can you help us make the prince drink the water?	尊敬的法師，能幫王子喝水嗎？
noble magicien pouvez-vous nous aider à faire boire le prince?	尊敬的法師，能幫王子喝水嗎？
noble magicien, permettez-nous de solliciter un entretien...	尊貴的巫師，請容我們求見。
noble mago, permitidnos que os solicitemos una entrevista...	尊貴的巫師，請容我們求見。
noble musician, could you give us a few variations on a theme?	尊貴的樂手，能為我們變奏一曲嗎？
noble musicien pouvez-vous nous interpréter une variation sur un thème?	尊貴的樂手，能為我們變奏一曲嗎？
noble músico, ¿podría tocar para ambos una variación sobre un tema?	尊貴的樂手，能為我們變奏一曲嗎？
noble wizard, please let me speak to you.	尊貴的巫師，請容我們求見。
non avete sete questa volta?	這次不渴了嗎？
non ci saranno mica dei tesori da scovare nei paraggi?	這附近會不會有寶藏啊？
non me ne parlate! voi almeno potete utilizzare la carta magica per questo!	別提了！不過你們可以用魔法卡！
non ne posso più di girare a vuoto! indicateci l'uscita, millepiedi!	唉，繞圈繞煩了！蜈蚣，帶路出去！
non posso fare la chiave, se non mi date l'impronta!	沒有拓印，我打不出鑰匙！
non! j'ai faim! j'ai faim!	不行！我餓了！真的餓了！
non! mais des perles et des diamants à profusion si on cherche bien...	沒有！但仔細找就有珍珠和鑽石……
non! mais je vous autorise à prendre une pomme si vous voulez!	不行！不過你們可以拿顆蘋果！
non, on m'enferme ici pour que je chante ma tristesse...	不，把我關在這唱悲歌……
non... il me semble que j'ai oublié quelque objet fort utile...	不，我好像忘了拿樣有用的東西……
non... plutôt frisquet!	不……有點涼呢！
nonostante l'età avanzata, il suo sguardo è ancora vivo!	他年紀雖大，眼神還是很有神！
not at all, my fine man, i'm just taking my bath.	才沒有，老兄，我只是在洗澡而已。
not at all, my fine man. i'm just taking my bath.	才沒有，老兄，我只是在洗澡而已。
nous devons retrouver le fils du roi angoulafre, enlevé par un démon.	我們要找安哥拉菲王被擄走的兒子
nous sommes affamés! Il n'y a guère que le notable qui ait encore à manger...	我們快餓死了！只有鄉紳有得吃。
o flesh of my flesh, my own blood, my only son...	獨子啊，我的心頭肉……
ob da wohl irgendwo ein schatz herum- liegt, der auf uns wartet?	這附近會不會有寶藏啊？
of course there's a way! get him to drink theelixir of kindness!	當然有辦法！讓他喝下仁慈藥水就行！
of course there's a way! get him to taste theelixir of kindness!	當然有辦法！讓他喝下仁慈藥水就行！
oh carne de mi carne,sangre de mi sangre, hijo único...	獨子啊，我的心頭肉……
oh du einziger sproß meiner lenden, mein fleisch & blut!	獨子啊，我的心頭肉……
oh flesh of my flesh, my own blood, my only son...	獨子啊，我的心頭肉……
oh sì, mille grazie! ma posso aprirvi solo a metà...	喔，太謝謝了！不過我只能開一半的路……
oh yes, i do love him. He has made me his official food taster!	當然愛啊！他還封我當御用試菜官呢！
oh yes, i do love him. He has made me his official foodtaster!	當然愛啊！他還封我當御用試菜官呢！
oh! carne della mia carne mio unico figlio....	獨子啊，我的心頭肉……
oh, ama de casa, ¿no tendría un canasto?	喂，大嬸，有籃子借一下嗎？
oh...? so you're off, eh? think again! you're stuck here forever like me!	喔？你想走？作夢！你跟我一樣永遠困在這
oh? so you're off? not a chance! you're stuck here forever like me!	喔？你想走？作夢！你跟我一樣永遠困在這
oilà amico funzionario! cosa c'è da vedere da queste parti?	嗨，公務員大人，這附近有什麼好看的？
ok aber erstmal was zu saufen!	好啊，先拿好酒來！
ok bEARDY, tell us where to go AND make it snappy!	好啦鬍子佬！快指路，動動腦！
ok bEARDY, tell us where to go AND think quick!	好啦鬍子佬！快指路，動動腦！
ok barbu! indique-nous le chemin et active-toi le haricot!	好啦鬍子佬！快指路，動動腦！
ok barbuto! indicaci la via, ma sbrigati!	好啦鬍子佬！快指路，動動腦！
ok midget, but bring me some good booze first!	好啊小矮子，先拿好酒來再說！
ok, aber erst der imbiß, sonst läuft nix!	好啊，先給我東西吃！
ok, but bring me some good WINE!	好啊，先拿好酒來！
ok, but bring me some good chow!	好啊，先拿好酒來！
ok, but give me something to eat!	好啊，先給我東西吃！
on t'amène un champignon collègue! Attention c'est du bon!	老兄，這蘑菇送你，超好吃的！
on the way out of the village stood the famous castle they decided to make a tour of it	村外有座城堡，兩人決定逛逛
oui! mais je ne puis vous l'indiquer Puisque l'on m'a volé mes deux yeux!	知道，但我眼睛被偷了，指不了路
outside the village stands a famous castle. They decide to take a tour!	村外有座城堡，兩人決定逛逛
ow!	哎唷！
para acceder a este castillo, tirad a la zanja un poco de la arena del tiempo	想進城堡，把時間沙丟進壕溝！
